Input (Misspelled),Expected Output,Predicted Output (Top-1),Top-3 Predictions,Correct?
welnut,walnut,walnut,"walnut, monkeynut, lut",✅
subfrotnal,subfrontal,subfrontal,"subfrontal, subpharyngeal, subspiral",✅
disaramment,disarmament,disarmament,"disarmament, disarmed, disarming",✅
choclate,chocolate,chocolate,"chocolate, schochat, sclate",✅
rredeliverance,redeliverance,redeliverance,"redeliverance, predeliberately, predella",✅
shaqer,shaker,shaker,"shaker, shocker, shaped",✅
sinusike,sinuslike,sinuslike,"sinuslike, pansinusitis, penlike",✅
gynophygite,gynophagite,gynophagite,"gynophagite, gynocardic, monophysitical",✅
deployiment,deployment,deployment,"deployment, travestiment, realignment",✅
dodecyplene,dodecylene,dodecylene,"dodecylene, decline, camphylene",✅
yerum,yercum,yercum,"yercum, labrum, spectrum",✅
deviman,devilman,devilman,"devilman, dean, devaluate",✅
panteclassical,anteclassical,anteclassical,"anteclassical, preclassical, pantagruelian",✅
stienobregma,stenobregma,stenobregma,"stenobregma, zenobia, asthenobiotic",✅
powonite,pogonite,pogonite,"pogonite, pont, liroconite",✅
homekeping,homekeeping,homekeeping,"homekeeping, helping, hipping",✅
fuzy,fumy,fumy,"fumy, tanzy, furan",✅
pervemtibility,pervertibility,pervertibility,"pervertibility, resistibility, distractibility",✅
unpaologizing,unapologizing,unapologizing,"unapologizing, unpolluting, unplough",✅
sybartic,sybaritic,sybaritic,"sybaritic, systatic, synclastic",✅
unrepeningly,unrepentingly,unrepentingly,"unrepentingly, unrepealable, unreproachable",✅
beaonless,beaconless,beaconless,"beaconless, functionless, beans",✅
semispeculatqion,semispeculation,semispeculation,"semispeculation, speculist, inoculation",✅
contsie,contise,contise,"contise, sie, chrissie",✅
eplsilon,epsilon,epsilon,"epsilon, echelon, vanillon",✅
prolicitdal,prolicidal,prolicidal,"prolicidal, prologuer, proliferous",✅
deciduus,deciduous,deciduous,"deciduous, decil, nidus",✅
supermazxillary,supermaxillary,supermaxillary,"supermaxillary, superimpend, spermatocystic",✅
phawerate,phalerate,phalerate,"phalerate, rerate, generate",✅
bunfirm,unfirm,unfirm,"unfirm, confirmand, bunker",✅
dsk,dusk,dusk,"dusk, dorask, woodskin",✅
paralobia,paralogia,paralogia,"paralogia, paraphemia, parao",✅
genearl,general,general,"general, earl, generate",✅
factble,factable,factable,"factable, factish, faciend",✅
scehmatist,schematist,schematist,"schematist, dramatist, skatist",✅
unpithed,unpitched,unpitched,"unpitched, unlathed, unbetrothed",✅
buittressless,buttressless,buttressless,"buttressless, oillessness, treelessness",✅
tuberculiniztion,tuberculinization,tuberculinization,"tuberculinization, tuberculid, nontuberculous",✅
dipteyral,dipteral,dipteral,"dipteral, dipterologist, nipter",✅
photomteor,photometeor,photometeor,"photometeor, photomapper, photo",✅
arisolochiales,aristolochiales,aristolochiales,"aristolochiales, aerosol, moniliales",✅
superincjomprehensible,superincomprehensible,superincomprehensible,"superincomprehensible, superendow, supernatation",✅
micrwbiologic,microbiologic,microbiologic,"microbiologic, pseudobiological, craniological",✅
ticklged,tickled,tickled,"tickled, tickney, sickleman",✅
coloniailst,colonialist,colonialist,"colonialist, colorable, hailstorm",✅
decarbonaotr,decarbonator,decarbonator,"decarbonator, arborator, harbour",✅
pty,pity,pity,"pity, toty, ptinid",✅
libhting,lighting,lighting,"lighting, ting, flightiness",✅
whigigsh,whiggish,whiggish,"whiggish, whiteness, whistness",✅
photoanamorhposis,photoanamorphosis,photoanamorphosis,"photoanamorphosis, photaesthesis, photo",✅
akitumu,takitumu,takitumu,"takitumu, rimu, attitude",✅
hyrackum,hyraceum,hyraceum,"hyraceum, hyrachyus, batrachium",✅
beoloved,beloved,beloved,"beloved, osteologer, bed",✅
potfetal,postfetal,postfetal,"postfetal, dietal, dispetal",✅
sulfaqsuinoxaline,sulfaquinoxaline,sulfaquinoxaline,"sulfaquinoxaline, quinonimine, equinox",✅
discipalelike,disciplelike,disciplelike,"disciplelike, filelike, stolelike",✅
amh,mah,amort,"amort, ampul, rambeh",❌
sunspotetd,sunspotted,sunspotted,"sunspotted, unsped, unspared",✅
basla,balsa,bassia,"bassia, basilisk, bassness",❌
dwine,twine,twine,"twine, dwayne, daoine",✅
sarvarthasidhda,sarvarthasiddha,sarvarthasiddha,"sarvarthasiddha, hasidean, shorthand",✅
adventursih,adventurish,adventurish,"adventurish, unadventured, advanceable",✅
tviactinal,triactinal,triactinal,"triactinal, albinal, evectional",✅
miasmfus,miasmous,miasmous,"miasmous, miasmatology, armful",✅
arthrogastla,arthrogastra,arthrogastra,"arthrogastra, arthropathology, arthralgia",✅
cometod,cometoid,cometoid,"cometoid, micromethod, comedical",✅
paraiotic,parabiotic,parabiotic,"parabiotic, apobiotic, argotic",✅
farseeixgness,farseeingness,farseeingness,"farseeingness, farness, glaringness",✅
karyolyus,karyolysus,karyolysus,"karyolysus, karyomitome, cryolite",✅
antiartritic,antiarthritic,antiarthritic,"antiarthritic, antipruritic, antirachitic",✅
tagzail,tagtail,tagtail,"tagtail, ail, dail",✅
lhistness,whistness,whistness,"whistness, curstness, firstness",✅
psloceratan,psiloceratan,psiloceratan,"psiloceratan, desiderata, phalerate",✅
bcaam,caam,caam,"caam, subcaudal, befoam",✅
preoen,preopen,preopen,"preopen, preoptic, preoccupate",✅
lao,dao,dao,"dao, chao, parao",✅
irreipectability,irrespectability,irrespectability,"irrespectability, irreversibility, hereditability",✅
oddy,doddy,doddy,"doddy, eddie, odyl",✅
bnloved,beloved,beloved,"beloved, unloaned, cloverleaf",✅
aniasnilide,anisanilide,anisanilide,"anisanilide, acetanilide, abide",✅
hxraceum,hyraceum,hyraceum,"hyraceum, saracenism, hemoperitoneum",✅
tirhwutia,tirhutia,tirhutia,"tirhutia, minutia, entia",✅
nonscution,nonsuction,nonsuction,"nonsuction, inexecution, nonconfutation",✅
cytgmere,cytomere,cytomere,"cytomere, cytode, absampere",✅
rehcaser,rechaser,rehearser,"rehearser, rechaser, rectiserial",❌
volitint,volitient,volitient,"volitient, overtint, countervolition",✅
ovreambitioned,overambitioned,overambitioned,"overambitioned, proportioned, fanioned",✅
subdialectarly,subdialectally,subdialectally,"subdialectally, uvularly, subdue",✅
wormhoed,wormholed,wormholed,"wormholed, worried, moed",✅
physiophilosophper,physiophilosopher,physiophilosopher,"physiophilosopher, phosphyl, physiologist",✅
zaqqm,zaqqum,zaqqum,"zaqqum, zarema, zapas",✅
fjorecaster,forecaster,forecaster,"forecaster, flogmaster, jokester",✅
heartshtead,hearthstead,hearthstead,"hearthstead, farmstead, instead",✅
anieanilide,anisanilide,anisanilide,"anisanilide, acetanilide, anthranil",✅
mnfibulate,infibulate,infibulate,"infibulate, mandibulary, inoculate",✅
extravisceal,extravisceral,extravisceral,"extravisceral, extravasate, extramodal",✅
repaable,reapable,reapable,"reapable, repage, repleviable",✅
doronicmu,doronicum,doronicum,"doronicum, dorneck, coronitis",✅
transcrgibable,transcribable,transcribable,"transcribable, transcribble, transcribbler",✅
paratrichsis,paratrichosis,paratrichosis,"paratrichosis, parathesis, paratypical",✅
haint,hiant,hiant,"hiant, hailstorm, halt",✅
hairsplittser,hairsplitter,hairsplitter,"hairsplitter, litterer, chair",✅
blndfolded,blindfolded,blindfolded,"blindfolded, blunderbuss, borsholder",✅
plkacableness,placableness,placableness,"placableness, ineradicableness, unusableness",✅
unbuly,unbulky,unbulky,"unbulky, unbell, unblithe",✅
wmranglesome,wranglesome,wranglesome,"wranglesome, rattlesome, waddlesome",✅
octopoodus,octopodous,octopodous,"octopodous, octopi, octofid",✅
pisorb,disorb,disorb,"disorb, risorius, preabsorbent",✅
ictramural,intramural,intramural,"intramural, dextraural, extrapleural",✅
bictrofarad,bicrofarad,bicrofarad,"bicrofarad, garad, electrofused",✅
ophoinid,ophionid,ophionid,"ophionid, ptinid, typhoid",✅
promodertaionist,promoderationist,promoderationist,"promoderationist, promotive, fictionist",✅
ysphoric,dysphoric,dysphoric,"dysphoric, polysporic, plethoric",✅
micn,mien,micate,"micate, mien, micmac",❌
al,ail,al,"al, alod, alem",❌
erubesite,erubescite,erubescite,"erubescite, gibbsite, isoclasite",✅
overpseedily,overspeedily,overspeedily,"overspeedily, overpole, overpromptly",✅
suhbbing,subbing,subbing,"subbing, subbifid, surveying",✅
ptato,potato,potato,"potato, tomato, raptatorial",✅
recptacle,receptacle,receptacle,"receptacle, recitative, reapable",✅
misenmite,misenite,misenite,"misenite, misnumber, misestimate",✅
aprlance,parlance,parlance,"parlance, assurance, prefinance",✅
reimmigrant,reimmigrant,reimmigrant,"reimmigrant, reimbark, remonstrant",✅
enthealling,enthralling,enthralling,"enthralling, billing, nepenthean",✅
cxhristened,christened,christened,"christened, christendie, christicide",✅
tarazn,tarzan,tarzan,"tarzan, tars, tariff",✅
pinnatifidyy,pinnatifidly,pinnatifidly,"pinnatifidly, gratifiedly, paripinnate",✅
hypsopyhllum,hypsophyllum,hypsophyllum,"hypsophyllum, hypsiprymnus, mallum",✅
effervescingvy,effervescingly,effervescingly,"effervescingly, uneffervescent, efficient",✅
rhubarb,rhubarb,rhubarb,"rhubarb, barbarian, barbated",✅
foghonn,foghorn,foghorn,"foghorn, fogdog, fons",✅
rpecaution,precaution,precaution,"precaution, inexecution, lection",✅
nesotragsu,nesotragus,nesotragus,"nesotragus, esoterist, hippotragus",✅
nealiness,mealiness,mealiness,"mealiness, lealness, unreadiness",✅
emdullization,medullization,medullization,"medullization, visualization, gentilization",✅
antiodontslgic,antiodontalgic,antiodontalgic,"antiodontalgic, antidiphtheria, antietam",✅
tipfy,tipsy,tipsy,"tipsy, tipsification, oofy",✅
faradiztion,faradization,faradization,"faradization, solodization, readdition",✅
hyndronitric,hydronitric,hydronitric,"hydronitric, hydropathic, coronitis",✅
henfiwsh,henfish,henfish,"henfish, henism, henpeck",✅
schemtist,schematist,schematist,"schematist, schistic, scientistic",✅
iocystoma,inocystoma,inocystoma,"inocystoma, blastoma, tritoma",✅
archibad,archibald,archibald,"archibald, archeress, arcual",✅
tubercuhlid,tuberculid,tuberculid,"tuberculid, tuberculinization, nontuberculous",✅
antifibrinolyiss,antifibrinolysis,antifibrinolysis,"antifibrinolysis, antivibrator, antipharmic",✅
lass,glass,lasso,"lasso, glass, lassieish",❌
ndetected,undetected,undetected,"undetected, unobjected, nondeterrent",✅
bljwup,blowup,blowup,"blowup, blip, jaup",✅
starnle,starnel,starnel,"starnel, strange, sturnella",✅
exythroxyline,erythroxyline,erythroxyline,"erythroxyline, hexylic, thronelike",✅
uran,guran,furan,"furan, guran, poduran",❌
unplenthful,unplentiful,unplentiful,"unplentiful, unplough, unplace",✅
dqisulphonic,disulphonic,disulphonic,"disulphonic, naphthylaminesulphonic, hypophonic",✅
wodol,wool,wool,"wool, iodocresol, hoodoo",✅
counternpoise,counternoise,counternoise,"counternoise, countervote, counterfire",✅
shufle,shuffle,shuffle,"shuffle, restifle, shutoku",✅
beitde,betide,bed,"bed, beisa, betide",❌
aerrnterectasia,aerenterectasia,aerenterectasia,"aerenterectasia, metrectopia, periodontoclasia",✅
polymolecutar,polymolecular,polymolecular,"polymolecular, dimolecular, bimolecular",✅
bruonism,brunonism,brunonism,"brunonism, macaronism, henism",✅
caeinate,caseinate,caseinate,"caseinate, catkinate, supinate",✅
gababrd,gabbard,gabbard,"gabbard, aboard, babassu",✅
sikroom,sickroom,sickroom,"sickroom, disselboom, scroo",✅
veltation,deltation,deltation,"deltation, fictation, elicitation",✅
temporfry,temporary,temporary,"temporary, temporalness, temporozygomatic",✅
accelerazle,accelerable,accelerable,"accelerable, accentuate, celerity",✅
subplmonary,subpulmonary,subpulmonary,"subpulmonary, subpharyngeal, requisitionary",✅
acqolyte,acolyte,acolyte,"acolyte, hippolyte, acolythate",✅
tribromphenjte,tribromphenate,tribromphenate,"tribromphenate, triphenyl, terphenyl",✅
scogginist,scogginist,scogginist,"scogginist, unigenist, eranist",✅
micrurgibal,micrurgical,micrurgical,"micrurgical, scribal, micropia",✅
ubntransported,untransported,untransported,"untransported, transparish, sunspotted",✅
unlcutch,unclutch,unclutch,"unclutch, unwelcome, slutchy",✅
tktrastichous,tetrastichous,tetrastichous,"tetrastichous, heptastich, ananthous",✅
bnana,banana,banana,"banana, korana, cananga",✅
marketise,marketwise,marketwise,"marketwise, marka, contise",✅
nodex,podex,podex,"podex, chronodeik, endocortex",✅
fulizer,fuelizer,fuelizer,"fuelizer, fuller, vitalizer",✅
burbon,burion,burion,"burion, turbo, probonus",✅
abdie,abide,abide,"abide, eddie, abdominal",✅
preconziance,preconizance,preconizance,"preconizance, preconstruct, preconsolation",✅
aqueously,aqueously,aqueously,"aqueously, plenteously, adulterously",✅
dijrnule,diurnule,diurnule,"diurnule, dijudicate, porule",✅
soprdellina,sordellina,sordellina,"sordellina, superdeity, predella",✅
grallatory,grallatory,grallatory,"grallatory, palliatory, undilatory",✅
vihek,vivek,vivek,"vivek, tamachek, lek",✅
handicrhaftship,handicraftship,handicraftship,"handicraftship, aftership, evangelistship",✅
yaltern,altern,altern,"altern, eastern, cistern",✅
gynecocrtaic,gynecocratic,gynecocratic,"gynecocratic, gonococcoid, gynocardic",✅
phvlerate,phalerate,phalerate,"phalerate, rerate, generate",✅
prveformist,preformist,preformist,"preformist, antireforming, pogromist",✅
bittewood,bitterwood,bitted,"bitted, bitterwood, barwood",❌
boofkhood,bookhood,bookhood,"bookhood, shood, dollhood",✅
antirecforming,antireforming,antireforming,"antireforming, antirumor, antirachitic",✅
extrabulbwr,extrabulbar,extrabulbar,"extrabulbar, extrapleural, extramodal",✅
laonora,leonora,leonora,"leonora, honorary, cora",✅
csreenman,screenman,screenman,"screenman, cableman, crankman",✅
nudefectible,undefectible,undefectible,"undefectible, defendable, undefendable",✅
unconthasting,uncontrasting,uncontrasting,"uncontrasting, unconvincing, uncontentious",✅
mgancipee,mancipee,mancipee,"mancipee, lanciferous, bencite",✅
dheambulatory,deambulatory,deambulatory,"deambulatory, ambulation, ejaculatory",✅
wxrranted,warranted,warranted,"warranted, unchanted, fonted",✅
cacodylaet,cacodylate,cacodylate,"cacodylate, odyl, cacoethic",✅
cidchoriaceous,cichoriaceous,cichoriaceous,"cichoriaceous, schorlaceous, miniaceous",✅
gastralty,gastralgy,gastralgy,"gastralgy, gastropodan, costraight",✅
unsalvabilnity,unsalvability,unsalvability,"unsalvability, insalubrious, inamovability",✅
unusableaess,unusableness,unusableness,"unusableness, unclassableness, untakeableness",✅
aroutse,arouse,arouse,"arouse, trouse, outsit",✅
praaphemia,paraphemia,paraphemia,"paraphemia, leuchemia, profeminism",✅
inswaqming,inswarming,inswarming,"inswarming, insocially, inscrutability",✅
forespecifijd,forespecified,forespecified,"forespecified, forested, forestiera",✅
atiae,antiae,antiae,"antiae, blattariae, twae",✅
chrsisie,chrissie,chrissie,"chrissie, sie, christendie",✅
escalped,escaloped,escaloped,"escaloped, scaled, shaped",✅
madeg,madge,madi,"madi, madge, dreg",❌
vivisectoium,vivisectorium,vivisectorium,"vivisectorium, cutisector, viviperfuse",✅
fauuistic,faunistic,faunistic,"faunistic, linguistic, schistic",✅
mnogoloid,mongoloid,mongoloid,"mongoloid, aloid, encephaloid",✅
confdientiality,confidentiality,confidentiality,"confidentiality, confidentiary, conviviality",✅
dak,dhak,dhak,"dhak, daktylos, dao",✅
nonpremium,nonpremium,nonpremium,"nonpremium, nonprotective, nonpareil",✅
antdiivine,antidivine,antidivine,"antidivine, antivibrator, antipharmic",✅
autoerotwc,autoerotic,autoerotic,"autoerotic, autoerotism, outtrot",✅
seismochronogrqaph,seismochronograph,seismochronograph,"seismochronograph, seismographical, photochronography",✅
ehumanize,rehumanize,rehumanize,"rehumanize, humanizer, chileanize",✅
unaugomentable,unaugmentable,unaugmentable,"unaugmentable, unaccountable, unadmittable",✅
ropessimism,propessimism,propessimism,"propessimism, messianism, nonassimilable",✅
leuifer,leucifer,leucifer,"leucifer, conifer, tubifer",✅
patlamedea,palamedea,palamedea,"palamedea, atlatl, lamella",✅
tedasingly,teasingly,teasingly,"teasingly, wearingly, tiringly",✅
haxlt,halt,halt,"halt, salt, selt",✅
influxino,influxion,influxion,"influxion, unfleeting, unflighty",✅
mandbiulary,mandibulary,mandibulary,"mandibulary, windbibber, noncapillary",✅
picdiform,piciform,piciform,"piciform, spiriform, vitriform",✅
rpecisioner,precisioner,precisioner,"precisioner, misdecision, accessioner",✅
smelflungi,smellfungi,smellfungi,"smellfungi, flung, salung",✅
anivibrator,antivibrator,antivibrator,"antivibrator, arborator, curator",✅
musatng,mustang,mustang,"mustang, misdoing, muscid",✅
televcsion,television,television,"television, delapsion, ascension",✅
phyllodial,phyllodial,phyllodial,"phyllodial, phyllostachys, phyllorhinine",✅
broadseet,broadsheet,broadsheet,"broadsheet, broadwayite, roadite",✅
dsperado,desperado,desperado,"desperado, disperiwig, cascado",✅
girnodist,girondist,girondist,"girondist, melodist, girt",✅
oscurrzntist,oscurrantist,oscurrantist,"oscurrantist, scurrility, schematist",✅
endocxrtex,endocortex,endocortex,"endocortex, endopleura, endonucleolus",✅
burnon,burion,burion,"burion, burgoyne, burgall",✅
rat,drat,drat,"drat, cat, ratchelly",✅
incermate,incremate,incertitude,"incertitude, incarnate, incardinate",❌
manichean,manichaean,manichaean,"manichaean, enniche, manchurian",✅
spikc,spick,spick,"spick, spilly, spinach",✅
gloatig,gloating,gloating,"gloating, gloaming, globated",✅
depenthean,nepenthean,nepenthean,"nepenthean, dean, independable",✅
drillstqck,drillstock,drillstock,"drillstock, driest, piltock",✅
fung,flung,flung,"flung, salung, coolung",✅
dnaziger,danziger,danziger,"danziger, integer, charger",✅
dichlamyeous,dichlamydeous,dichlamydeous,"dichlamydeous, cichoriaceous, miniaceous",✅
sunably,suably,signable,"signable, suably, pensionably",❌
inocuate,inoculate,inoculate,"inoculate, inoculation, inocystoma",✅
antilocarpidae,antilocapridae,antilocapridae,"antilocapridae, antillean, pilocarpine",✅
periorphous,perimorphous,perimorphous,"perimorphous, zygomorphous, hystricomorphous",✅
mastodonsauian,mastodonsaurian,mastodonsaurian,"mastodonsaurian, dodonian, justinianian",✅
etibo,setibo,setibo,"setibo, turbo, etching",✅
grejnadin,grenadin,grenadin,"grenadin, greund, gruntingly",✅
borsmholder,borsholder,borsholder,"borsholder, billholder, wormholed",✅
wrngfulness,wrongfulness,wrongfulness,"wrongfulness, irefulness, loathfulness",✅
uelizer,fuelizer,fuelizer,"fuelizer, vitalizer, humanizer",✅
matix,matrix,matrix,"matrix, matti, alix",✅
preponderfusly,preponderously,preponderously,"preponderously, wonderfully, perfuse",✅
rosevud,rosebud,rosebud,"rosebud, rostel, rosoli",✅
contraveone,contravene,contravene,"contravene, contrapose, contratenor",✅
eutkycomi,euthycomi,euthycomi,"euthycomi, unami, tahami",✅
visuxlization,visualization,visualization,"visualization, medullization, revitalization",✅
orntihopoda,ornithopoda,ornithopoda,"ornithopoda, anchistopoda, pteropodal",✅
hrometry,horometry,orometry,"orometry, horometry, chlorometry",❌
tisguidedly,misguidedly,misguidedly,"misguidedly, undividedly, triedly",✅
obwwort,bowwort,bowwort,"bowwort, fanwort, sapwort",✅
foroault,forfault,forfault,"forfault, envault, for",✅
thungery,thundery,thundery,"thundery, wordmongery, imagery",✅
ecntimeter,centimeter,centimeter,"centimeter, hematimeter, octometer",✅
gosy,gossy,gossy,"gossy, gosling, psychognosy",✅
polyzon,polyzoan,polyzoan,"polyzoan, polygon, polytone",✅
baottle,bottle,bottle,"bottle, rottle, bottlebird",✅
apyrotamia,papyrotamia,papyrotamia,"papyrotamia, apyrexia, pyrogen",✅
cistril,coistril,coistril,"coistril, cistern, peril",✅
ovsersecure,oversecure,oversecure,"oversecure, overservice, recur",✅
fooctloth,footcloth,footcloth,"footcloth, footpath, horsecloth",✅
brongjiardite,brongniardite,brongniardite,"brongniardite, bring, roadite",✅
dalmr,dalar,dalar,"dalar, daedalea, dang",✅
heregebd,heregeld,heregeld,"heregeld, reges, hereupon",✅
spinasch,spinach,spinach,"spinach, pinch, spick",✅
brongzniardite,brongniardite,brongniardite,"brongniardite, bring, roadite",✅
bluetrhoat,bluethroat,bluethroat,"bluethroat, blattariae, blurbist",✅
stegsauroid,stegosauroid,stegosauroid,"stegosauroid, apteroid, cancroid",✅
uberomusness,uberousness,uberousness,"uberousness, veraciousness, erroneousness",✅
fishemfolk,fisherfolk,fisherfolk,"fisherfolk, runefolk, folkmoot",✅
beerocraqy,beerocracy,beerocracy,"beerocracy, angelocracy, logocracy",✅
rutheqous,ruthenous,ruthenous,"ruthenous, ruta, puther",✅
dactyis,dactylis,dactylis,"dactylis, platydactylous, megalodactylous",✅
lasunce,launce,launce,"launce, rebounce, assurance",✅
photpohane,photophane,photophane,"photophane, photo, chane",✅
ennche,enniche,enniche,"enniche, entia, tepache",✅
cewiitis,celiitis,celiitis,"celiitis, coronitis, keratitis",✅
wworishness,whorishness,whorishness,"whorishness, mopishness, lavishness",✅
prefiannce,prefinance,prefinance,"prefinance, prefigurement, preconizance",✅
baolo,balolo,balolo,"balolo, lolo, barile",✅
pilocrapine,pilocarpine,pilocarpine,"pilocarpine, isopilocarpine, psiloceratan",✅
slagess,slagless,slagless,"slagless, lagena, priggess",✅
phakcolome,phascolome,phascolome,"phascolome, thallome, precolor",✅
yegomanly,yeomanly,yeomanly,"yeomanly, unaldermanly, phagomania",✅
epirgoenic,epirogenic,epirogenic,"epirogenic, epeirogenic, epirrheme",✅
bqddle,buddle,buddle,"buddle, coddle, unriddle",✅
taktumu,takitumu,takitumu,"takitumu, takable, targum",✅
strawebrry,strawberry,strawberry,"strawberry, stript, stripling",✅
spasic,spastic,spastic,"spastic, triplasic, spaviet",✅
ele,else,neele,"neele, else, mycele",❌
alopemias,alopecias,alopecias,"alopecias, copemate, academial",✅
inhronize,inthronize,inthronize,"inthronize, cinchonize, metaphonize",✅
eoty,toty,toty,"toty, deota, eophyte",✅
farmerehtte,farmerette,farmerette,"farmerette, farmstead, farness",✅
hullifidian,nullifidian,nullifidian,"nullifidian, mollifier, bulliform",✅
soundabble,soundable,soundable,"soundable, compoundable, soundheaded",✅
epiplaszmic,epiplasmic,epiplasmic,"epiplasmic, triplasic, ooplasmic",✅
dpiteral,dipteral,dipteral,"dipteral, triliteral, mineral",✅
unying,unlying,unlying,"unlying, uncertifying, surveying",✅
lpaguily,plaguily,plaguily,"plaguily, dodgily, lingually",✅
laryngosracheitis,laryngotracheitis,laryngotracheitis,"laryngotracheitis, pharyngoscleroma, antirachitic",✅
chikcy,chicky,chicky,"chicky, chianti, chiffon",✅
saltmouht,saltmouth,saltmouth,"saltmouth, salt, saltpan",✅
waetr,water,water,"water, twae, wasted",✅
umderstamp,understamp,understamp,"understamp, restamp, upstamp",✅
androede,andromede,andromede,"andromede, andre, andromonoecism",✅
perioecc,perioecic,perioecic,"perioecic, periosteal, dioecy",✅
inominables,innominables,innominables,"innominables, inoppugnable, indeterminably",✅
thoracoscdpy,thoracoscopy,thoracoscopy,"thoracoscopy, thoracoscope, poroscopy",✅
redemtpible,redemptible,redemptible,"redemptible, derisible, investible",✅
erroneouxsness,erroneousness,erroneousness,"erroneousness, veraciousness, uberousness",✅
osnorosity,sonorosity,sonorosity,"sonorosity, mulierosity, crinosity",✅
itnerleague,interleague,interleague,"interleague, counterleague, leitneriaceae",✅
uxceasingness,unceasingness,unceasingness,"unceasingness, glaringness, fittingness",✅
mimac,micmac,micmac,"micmac, micate, misestimate",✅
smiexecutive,semiexecutive,semiexecutive,"semiexecutive, inexecution, subsecutive",✅
kuphra,kuphar,kuphar,"kuphar, euphorbia, euphon",✅
sjulmass,soulmass,soulmass,"soulmass, glass, juliana",✅
ichthyornithijdae,ichthyornithidae,ichthyornithidae,"ichthyornithidae, ichthyophile, ichthyotoxin",✅
hbushwhacker,bushwhacker,bushwhacker,"bushwhacker, shocker, corncracker",✅
trocqhodendron,trochodendron,trochodendron,"trochodendron, myzodendron, trochart",✅
fctocarpous,ectocarpous,ectocarpous,"ectocarpous, trichocarpous, platycarpous",✅
folkmovot,folkmoot,folkmoot,"folkmoot, fole, folly",✅
mycolgoist,mycologist,mycologist,"mycologist, embargoist, mycetous",✅
punstecked,unstecked,unstecked,"unstecked, untricked, landlocked",✅
helodexrmatidae,helodermatidae,helodermatidae,"helodermatidae, malacodermatidae, phymatidae",✅
intraurostatic,intraprostatic,intraprostatic,"intraprostatic, intramural, intrastromal",✅
posteetrnity,posteternity,posteternity,"posteternity, postelementary, postfetal",✅
abie,abide,abide,"abide, sie, labial",✅
irena,irena,irena,"irena, irenicum, lagena",✅
reodubt,redoubt,redoubt,"redoubt, geoduck, misdoubt",✅
tarona,tayrona,tayrona,"tayrona, tartronate, ona",✅
prachiation,brachiation,brachiation,"brachiation, precaution, glaciation",✅
circulfr,circular,circular,"circular, circularizer, circumhorizontal",✅
disaggregatiye,disaggregative,disaggregative,"disaggregative, aggregant, discorporate",✅
assemblbale,assemblable,assemblable,"assemblable, semble, dissembler",✅
leucocytoplana,leucocytoplania,leucocytoplania,"leucocytoplania, leucocytosis, leucocytic",✅
basia,bassia,bassia,"bassia, baria, basilisk",✅
wtrephocyte,trephocyte,trephocyte,"trephocyte, eophyte, biophyte",✅
commnos,commons,commons,"commons, commandment, commissarial",✅
maritn,martin,martin,"martin, marish, margarite",✅
motettsit,motettist,motettist,"motettist, outsit, lettsomite",✅
begabld,begabled,begabled,"begabled, begat, begari",✅
bastoma,blastoma,blastoma,"blastoma, neuroblastoma, tritoma",✅
faradiaztion,faradization,faradization,"faradization, radiatory, uniradiate",✅
ficttion,fictation,fictation,"fictation, fictionist, lection",✅
sticctdo,sticcado,sticcado,"sticcado, still, domestication",✅
metoymous,metonymous,metonymous,"metonymous, didymous, cryptonymous",✅
spiregrajs,spiregrass,spiregrass,"spiregrass, spiraculiferous, spirate",✅
sphygommeter,sphygmometer,sphygmometer,"sphygmometer, octometer, meteorometer",✅
adlterously,adulterously,adulterously,"adulterously, adulterate, generously",✅
sulhphoamide,sulphoamide,sulphoamide,"sulphoamide, sulphazide, salicylamide",✅
lntilocapridae,antilocapridae,antilocapridae,"antilocapridae, lentils, bopyridae",✅
prqcolor,precolor,precolor,"precolor, colorable, phascolome",✅
wqormholed,wormholed,wormholed,"wormholed, whirled, urled",✅
upnlace,unplace,unplace,"unplace, unlathed, tiderace",✅
iecrepitness,decrepitness,decrepitness,"decrepitness, crepis, unexplicitness",✅
johalnine,johannine,johannine,"johannine, halcyonine, join",✅
pelecypodous,pelecypodous,pelecypodous,"pelecypodous, dolichopodous, octopodous",✅
denhdrocygna,dendrocygna,dendrocygna,"dendrocygna, ferrihydrocyanic, bedrock",✅
tivel,thivel,thivel,"thivel, fugitively, exceptively",✅
rover,rever,rever,"rever, viver, walkover",✅
grimlineas,grimliness,grimliness,"grimliness, eneas, linear",✅
unorving,unroving,unroving,"unroving, unsorting, marvin",✅
otangularness,octangularness,octangularness,"octangularness, farness, blearness",✅
bunevost,bunemost,bunemost,"bunemost, bunker, guidepost",✅
urosthencc,urosthenic,urosthenic,"urosthenic, myxasthenia, rostel",✅
iddymous,didymous,didymous,"didymous, metonymous, cryptonymous",✅
sulfuorsyl,sulfurosyl,sulfurosyl,"sulfurosyl, sulfury, fulfulde",✅
milkhosue,milkhouse,milkhouse,"milkhouse, milksick, milk",✅
artivculus,articulus,articulus,"articulus, cauliculus, artophorion",✅
wamhtail,washtail,washtail,"washtail, tagtail, betail",✅
playwjman,playwoman,playwoman,"playwoman, lyreman, cableman",✅
ergius,sergius,sergius,"sergius, tergitic, monergist",✅
unceasinginess,unceasingness,unceasingness,"unceasingness, unclassableness, teasingly",✅
toviscapt,oviscapt,oviscapt,"oviscapt, inviscation, meniscal",✅
